2017-07-16 17:27:53 install ncurses-bin:i386 <none> 6.0+20161126-1
2017-07-16 17:27:53 status half-installed ncurses-bin:i386 6.0+20161126-1
2017-07-16 17:27:53 status unpacked ncurses-bin:i386 6.0+20161126-1
2017-07-16 17:27:53 status unpacked ncurses-bin:i386 6.0+20161126-1
2017-07-16 17:27:53 install libpam-modules:i386 <none> 1.1.8-3.6
2017-07-16 17:27:53 status half-installed libpam-modules:i386 1.1.8-3.6
2017-07-16 17:27:53 status unpacked libpam-modules:i386 1.1.8-3.6
2017-07-16 17:27:53 status unpacked libpam-modules:i386 1.1.8-3.6
2017-07-16 17:27:53 install libpam-modules-bin:i386 <none> 1.1.8-3.6
2017-07-16 17:27:53 status half-installed libpam-modules-bin:i386 1.1.8-3.6
2017-07-16 17:27:53 status unpacked libpam-modules-bin:i386 1.1.8-3.6
2017-07-16 17:27:53 status unpacked libpam-modules-bin:i386 1.1.8-3.6
2017-07-16 17:27:54 install libpam-runtime:all <none> 1.1.8-3.6
2017-07-16 17:27:54 status half-installed libpam-runtime:all 1.1.8-3.6
2017-07-16 17:27:54 status unpacked libpam-runtime:all 1.1.8-3.6
2017-07-16 17:27:54 status unpacked libpam-runtime:all 1.1.8-3.6
2017-07-16 17:27:54 install libpam0g:i386 <none> 1.1.8-3.6
2017-07-16 17:27:54 status half-installed libpam0g:i386 1.1.8-3.6
2017-07-16 17:27:54 status unpacked libpam0g:i386 1.1.8-3.6
2017-07-16 17:27:54 status unpacked libpam0g:i386 1.1.8-3.6
2017-07-16 17:27:54 install libpcre3:i386 <none> 2:8.39-3
2017-07-16 17:27:54 status half-installed libpcre3:i386 2:8.39-3
2017-07-16 17:27:54 status unpacked libpcre3:i386 2:8.39-3
2017-07-16 17:27:54 status unpacked libpcre3:i386 2:8.39-3
2017-07-16 17:27:54 upgrade perl-base:i386 5.24.1-3 5.24.1-3
2017-07-16 17:27:54 status half-configured perl-base:i386 5.24.1-3
2017-07-16 17:27:54 status unpacked perl-base:i386 5.24.1-3
2017-07-16 17:27:54 status half-installed perl-base:i386 5.24.1-3
2017-07-16 17:27:54 status half-installed perl-base:i386 5.24.1-3
2017-07-16 17:27:54 status unpacked perl-base:i386 5.24.1-3
2017-07-16 17:27:54 status unpacked perl-base:i386 5.24.1-3
2017-07-16 17:27:54 install sed:i386 <none> 4.4-1
2017-07-16 17:27:54 status half-installed sed:i386 4.4-1
2017-07-16 17:27:54 status unpacked sed:i386 4.4-1
2017-07-16 17:27:54 status unpacked sed:i386 4.4-1
2017-07-16 17:27:54 install sensible-utils:all <none> 0.0.9
2017-07-16 17:27:54 status half-installed sensible-utils:all 0.0.9
2017-07-16 17:27:54 status unpacked sensible-utils:all 0.0.9
2017-07-16 17:27:54 status unpacked sensible-utils:all 0.0.9
2017-07-16 17:27:54 install login:i386 <none> 1:4.4-4.1
2017-07-16 17:27:54 status half-installed login:i386 1:4.4-4.1
2017-07-16 17:27:55 status unpacked login:i386 1:4.4-4.1
2017-07-16 17:27:55 status unpacked login:i386 1:4.4-4.1
2017-07-16 17:27:55 install passwd:i386 <none> 1:4.4-4.1
2017-07-16 17:27:55 status half-installed passwd:i386 1:4.4-4.1
2017-07-16 17:27:55 status unpacked passwd:i386 1:4.4-4.1
2017-07-16 17:27:55 status unpacked passwd:i386 1:4.4-4.1
2017-07-16 17:27:55 install libsystemd0:i386 <none> 232-25
2017-07-16 17:27:55 status half-installed libsystemd0:i386 232-25
2017-07-16 17:27:55 status unpacked libsystemd0:i386 232-25
2017-07-16 17:27:55 status unpacked libsystemd0:i386 232-25
2017-07-16 17:27:55 install libudev1:i386 <none> 232-25
2017-07-16 17:27:55 status half-installed libudev1:i386 232-25
2017-07-16 17:27:55 status unpacked libudev1:i386 232-25
2017-07-16 17:27:55 status unpacked libudev1:i386 232-25
2017-07-16 17:27:55 install sysvinit-utils:i386 <none> 2.88dsf-59.9
2017-07-16 17:27:55 status half-installed sysvinit-utils:i386 2.88dsf-59.9
2017-07-16 17:27:55 status unpacked sysvinit-utils:i386 2.88dsf-59.9
2017-07-16 17:27:55 status unpacked sysvinit-utils:i386 2.88dsf-59.9
2017-07-16 17:27:55 install tar:i386 <none> 1.29b-1.1
2017-07-16 17:27:55 status half-installed tar:i386 1.29b-1.1
2017-07-16 17:27:55 status unpacked tar:i386 1.29b-1.1
2017-07-16 17:27:55 status unpacked tar:i386 1.29b-1.1
2017-07-16 17:27:55 install tzdata:all <none> 2017b-1
2017-07-16 17:27:55 status half-installed tzdata:all 2017b-1
2017-07-16 17:27:56 status unpacked tzdata:all 2017b-1
2017-07-16 17:27:56 status unpacked tzdata:all 2017b-1
2017-07-16 17:27:56 install libustr-1.0-1:i386 <none> 1.0.4-6
2017-07-16 17:27:56 status half-installed libustr-1.0-1:i386 1.0.4-6
2017-07-16 17:27:56 status unpacked libustr-1.0-1:i386 1.0.4-6
2017-07-16 17:27:56 status unpacked libustr-1.0-1:i386 1.0.4-6
2017-07-16 17:27:56 install bsdutils:i386 <none> 1:2.29.2-1
2017-07-16 17:27:56 status half-installed bsdutils:i386 1:2.29.2-1
2017-07-16 17:27:56 status unpacked bsdutils:i386 1:2.29.2-1
2017-07-16 17:27:56 status unpacked bsdutils:i386 1:2.29.2-1
2017-07-16 17:27:56 install libblkid1:i386 <none> 2.29.2-1
2017-07-16 17:27:56 status half-installed libblkid1:i386 2.29.2-1
2017-07-16 17:27:56 status unpacked libblkid1:i386 2.29.2-1
2017-07-16 17:27:56 status unpacked libblkid1:i386 2.29.2-1
2017-07-16 17:27:56 install libfdisk1:i386 <none> 2.29.2-1
2017-07-16 17:27:56 status half-installed libfdisk1:i386 2.29.2-1
2017-07-16 17:27:56 status unpacked libfdisk1:i386 2.29.2-1
2017-07-16 17:27:56 status unpacked libfdisk1:i386 2.29.2-1
2017-07-16 17:27:56 install libmount1:i386 <none> 2.29.2-1
2017-07-16 17:27:56 status half-installed libmount1:i386 2.29.2-1
2017-07-16 17:27:56 status unpacked libmount1:i386 2.29.2-1
2017-07-16 17:27:56 status unpacked libmount1:i386 2.29.2-1
2017-07-16 17:27:56 install libsmartcols1:i386 <none> 2.29.2-1
2017-07-16 17:27:56 status half-installed libsmartcols1:i386 2.29.2-1
2017-07-16 17:27:56 status unpacked libsmartcols1:i386 2.29.2-1
2017-07-16 17:27:56 status unpacked libsmartcols1:i386 2.29.2-1
2017-07-16 17:27:56 install libuuid1:i386 <none> 2.29.2-1
2017-07-16 17:27:56 status half-installed libuuid1:i386 2.29.2-1
2017-07-16 17:27:57 status unpacked libuuid1:i386 2.29.2-1
2017-07-16 17:27:57 status unpacked libuuid1:i386 2.29.2-1
